Company_Name,8K_Link
Apple Inc.,https://www.sec.gov/Archives/edgar/data/320193/000114036123011192/brhc10049413_8k.htm
Microsoft Corporation,https://www.sec.gov/Archives/edgar/data/789019/000119312523291720/d636199d8k.htm
Amazon.com Inc.,https://www.sec.gov/Archives/edgar/data/1018724/000110465923065457/tm2315877d1_8k.htm
Alphabet Inc. Class A,https://www.sec.gov/Archives/edgar/data/1652044/000119312523163590/d442583d8k.htm
Berkshire Hathaway Inc. Class B,https://www.sec.gov/Archives/edgar/data/1067983/000119312523140854/d501487d8k.htm
Alphabet Inc. Class C,https://www.sec.gov/Archives/edgar/data/1652044/000119312523163590/d442583d8k.htm
Meta Platforms Inc. Class A,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000083/meta-20230531.htm
Exxon Mobil Corporation,https://www.sec.gov/Archives/edgar/data/34088/000003408823000036/xom-20230531.htm
Johnson & Johnson,https://www.sec.gov/Archives/edgar/data/200406/000020040623000059/jnj-20230427.htm
JPMorgan Chase & Co.,https://www.sec.gov/Archives/edgar/data/19617/000001961723000382/jpm-20230516.htm
Visa Inc. Class A,https://www.sec.gov/Archives/edgar/data/1403161/000140316123000008/v-20230124.htm
Eli Lilly and Company,https://www.sec.gov/Archives/edgar/data/59478/000005947823000165/lly-20230501.htm
Mastercard Incorporated Class A,https://www.sec.gov/Archives/edgar/data/1141391/000114139123000094/ma-20230627.htm
Merck & Co. Inc.,https://www.sec.gov/Archives/edgar/data/310158/000114036123026845/brhc20053532_8k.htm
PepsiCo Inc.,https://www.sec.gov/Archives/edgar/data/77476/000007747623000028/pep-20230503.htm
Coca-Cola Company,https://www.sec.gov/Archives/edgar/data/21344/000002134423000026/ko-20230425.htm
Pfizer Inc.,https://www.sec.gov/Archives/edgar/data/78003/000162828023014368/pfe-20230427.htm
Thermo Fisher Scientific Inc.,https://www.sec.gov/Archives/edgar/data/97745/000009774523000042/tmo-20230524.htm
Walmart Inc.,https://www.sec.gov/Archives/edgar/data/104169/000010416923000054/wmt-20230531.htm
Salesforce Inc.,https://www.sec.gov/Archives/edgar/data/1108524/000110852423000029/crm-20230608.htm
Bank of America Corp,https://www.sec.gov/Archives/edgar/data/70858/000007085823000137/bac-20230425.htm
Walt Disney Company,https://www.sec.gov/Archives/edgar/data/1744489/000174448923000071/dis-20230403.htm
Comcast Corporation Class A,https://www.sec.gov/Archives/edgar/data/1166691/000095010323008707/dp195127_8k.htm
Accenture Plc Class A,https://www.sec.gov/Archives/edgar/data/1467373/000146737323000071/acn-20230201.htm
Adobe Incorporated,https://www.sec.gov/Archives/edgar/data/796343/000079634323000084/adbe-20230420.htm
Danaher Corporation,https://www.sec.gov/Archives/edgar/data/313616/000031361623000175/dhr-20230509.htm
Verizon Communications Inc.,https://www.sec.gov/Archives/edgar/data/732712/000119312523146084/d443538d8k.htm
Texas Instruments Incorporated,https://www.sec.gov/Archives/edgar/data/97476/000009747623000029/txn-20230427.htm
NextEra Energy Inc.,https://www.sec.gov/Archives/edgar/data/753308/000075330823000038/nee-20230518.htm
Philip Morris International Inc.,https://www.sec.gov/Archives/edgar/data/1413329/000141332923000151/pm-20230503.htm
Wells Fargo & Company,https://www.sec.gov/Archives/edgar/data/72971/000007297123000097/wfc-20230425.htm
Raytheon Technologies Corporation,https://www.sec.gov/Archives/edgar/data/101829/000089882223000021/form8k5323.htm
United Parcel Service Inc. Class B,https://www.sec.gov/Archives/edgar/data/1090727/000109072723000029/ups-20230504.htm
Intel Corporation,https://www.sec.gov/Archives/edgar/data/50863/000005086323000057/intc-20230511.htm
Union Pacific Corporation,https://www.sec.gov/Archives/edgar/data/100885/000143774923015331/unp20230516_8k.htm
ConocoPhillips,https://www.sec.gov/Archives/edgar/data/1163165/000110465923061988/tm2316025d1_8k.htm
AT&T Inc.,https://www.sec.gov/Archives/edgar/data/732717/000119312523151799/d360012d8k.htm
Medtronic Plc,https://www.sec.gov/Archives/edgar/data/1613103/000161310323000132/mdt-20231019.htm
Caterpillar Inc.,https://www.sec.gov/Archives/edgar/data/18230/000110465923072533/tm2318728d1_8k.htm
Morgan Stanley,https://www.sec.gov/Archives/edgar/data/895421/000095010323007607/dp193977_8k.htm
Goldman Sachs Group Inc.,https://www.sec.gov/Archives/edgar/data/886982/000119312523122281/d396563d8k.htm
General Electric Company,https://www.sec.gov/Archives/edgar/data/40545/000119312523138265/d441349d8k.htm
Intuitive Surgical Inc.,https://www.sec.gov/Archives/edgar/data/1035267/000103526723000133/isrg-20230427.htm
Mondelez International Inc. Class A,https://www.sec.gov/Archives/edgar/data/1103982/000110398223000025/mdlz-20230517.htm
Lockheed Martin Corporation,https://www.sec.gov/Archives/edgar/data/936468/000093646823000059/lmt-20230427.htm
Deere & Company,https://www.sec.gov/Archives/edgar/data/315189/000155837023002172/de-20230222x8k.htm
Gilead Sciences Inc.,https://www.sec.gov/Archives/edgar/data/882095/000088209523000019/gild-20230503.htm
Stryker Corporation,https://www.sec.gov/Archives/edgar/data/310764/000031076423000089/syk-20230510.htm
American Tower Corporation,https://www.sec.gov/Archives/edgar/data/1053507/000105350723000128/amt-20230524.htm
American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000018/axp-20230502.htm
CVS Health Corporation,https://www.sec.gov/Archives/edgar/data/64803/000006480323000019/cvs-20230518.htm
