
"Nominee","For","Against","Abstained","Broker Non-Vote"
"Heidi K. Kunz","199,252,742","49,152,480","378,386","19,452,911"
"Susan H. Rataj","226,926,105","21,488,352","369,151","19,452,911"
"George A. Scangos, Ph.D.","212,737,808","35,656,600","389,200","19,452,911"
"Dow R. Wilson","222,110,567","26,281,390","391,650","19,452,911"

"Proposal","For","Against","Abstained","Broker Non-Vote"
"The non-binding advisory vote to approve the compensation of the Company’s named executive officers was approved as set forth below.","221,637,626","26,620,106","525,876","19,452,911"
"The proposal to ratify the Audit and Finance Committee’s appointment of PricewaterhouseCoopers LLP as the Company’s independent registered public accounting firm for the 2023 fiscal year was approved as set forth below.","250,442,534","17,382,457","411,382","146"
"The proposal regarding the approval of amendments to the Company’s Certificate of Incorporation was approved as set forth below.","248,052,193","380,435","350,980","19,452,911"
"The results of the non-binding advisory vote on the frequency of the stockholder advisory votes to approve the compensation of the Company’s named executive officers was approved as set forth below.","244,419,390","127,458","1,580,592","360,133"
