plaintext
"Nominee","For","Against","Abstained","Broker Non-Vote"
"Amy Banse","330,578,098","25,596,071","421,378","39,206,120"
"Brett Biggs","353,685,165","2,469,772","440,610","39,206,120"
"Melanie Boulden","347,030,715","9,143,771","421,061","39,206,120"
"Frank Calderoni","341,626,519","14,527,744","441,284","39,206,120"
"Laura Desmond","344,230,359","11,945,621","419,567","39,206,120"
"Shantanu Narayen","332,225,049","22,794,294","1,576,204","39,206,120"
"Spencer Neumann","353,765,482","2,389,549","440,516","39,206,120"
"Kathleen Oberg","345,228,314","10,946,294","420,939","39,206,120"
"Dheeraj Pandey","353,775,483","2,351,176","468,888","39,206,120"
"David Ricks","345,681,191","10,472,117","442,239","39,206,120"
"Daniel Rosensweig","341,820,698","14,330,904","443,945","39,206,120"
"John Warnock","350,825,082","5,403,339","367,126","39,206,120"

"Proposal","For","Against","Abstained","Broker Non-Vote"
"Approve the 2019 Equity Incentive Plan, as amended, to increase the available share reserve by 12,000,000 shares.","335,214,097","20,772,530","608,920","39,206,120"
"Ratify the appointment of KPMG LLP as our independent registered public accounting firm for our fiscal year ending on December 1, 2023.","370,067,020","25,026,228","708,419","0"
"Approve, on an advisory basis, the compensation of our named executive officers.","313,607,712","41,802,944","1,184,891","39,206,120"
"Approve, on an advisory basis, the frequency of the advisory vote on executive compensation.","351,067,962","266,967","4,741,649","518,969","39,206,120"
"Vote upon a stockholder proposal concerning a report on hiring of persons with arrest or incarceration records.","59,783,487","292,462,760","4,349,300","39,206,120"
