
"Nominee","For","Against","Abstained","Broker Non-Vote"
"Richard H. Carmona, M.D.","107,167,161","1,236,274","156,337","11,122,275"
"Dominic J. Caruso","106,690,271","1,705,722","163,779","11,122,275"
"W. Roy Dunbar","105,601,748","2,760,524","197,500","11,122,275"
"James H. Hinton","107,511,295","866,074","182,403","11,122,275"
"Donald R. Knauss","105,274,813","3,105,150","179,809","11,122,275"
"Bradley E. Lerman","107,079,590","1,288,665","191,517","11,122,275"
"Linda P. Mantia","104,622,278","3,775,947","161,547","11,122,275"
"Maria Martinez","104,594,852","3,803,761","161,159","11,122,275"
"Susan R. Salka","106,913,966","1,492,566","153,240","11,122,275"
"Brian S. Tyler","107,572,534","865,990","121,248","11,122,275"
"Kathleen Wilson-Thompson","103,442,333","4,951,881","165,558","11,122,275"

"Proposal","For","Against","Abstained","Broker Non-Vote"
"The appointment of Deloitte & Touche LLP as the Company’s independent registered public accounting firm for the fiscal year ending March 31, 2024 was ratified.","112,107,591","7,338,010","186,446","-"
"The proposal to approve, on an advisory basis, the compensation of the Company’s named executive officers was approved.","96,483,473","11,840,048","236,251","11,122,275"
"The proposal for shareholders to vote, on an advisory basis, on the frequency of the advisory vote on executive compensation received the following votes.","106,826,660","112,967","1,360,791","259,354"
"The shareholder-submitted proposal on ratification of termination pay was not approved.","11,753,925","96,484,943","320,904","11,122,275"
