
"Nominee","For","Withheld","Broker Non-Votes"
"Peggy Alford","4,397,201,474","638,028,279","223,805,267"
"Marc L. Andreessen","4,562,109,965","473,119,788","223,805,267"
"Andrew W. Houston","4,575,049,246","460,180,507","223,805,267"
"Nancy Killefer","4,988,759,917","46,469,836","223,805,267"
"Robert M. Kimmitt","4,905,696,922","129,532,831","223,805,267"
"Sheryl K. Sandberg","4,995,842,498","39,387,255","223,805,267"
"Tracey T. Travis","4,886,849,193","148,380,560","223,805,267"
"Tony Xu","4,588,903,919","446,325,834","223,805,267"
"Mark Zuckerberg","4,628,709,257","406,520,496","223,805,267"

"Proposal","For","Against","Abstained","Broker Non-Vote"
"Ratification of Appointment of Independent Registered Public Accounting Firm","5,176,904,631","78,164,976","3,965,413","0"
"Shareholder Proposal Regarding Government Takedown Requests","21,161,618","4,997,674,459","16,393,676","223,805,267"
"Shareholder Proposal Regarding Dual Class Capital Structure","1,406,841,369","3,621,542,306","6,846,078","223,805,267"
"Shareholder Proposal Regarding Human Rights Impact Assessment of Targeted Advertising","845,051,262","4,119,907,712","70,270,779","223,805,267"
"Shareholder Proposal Regarding Report on Lobbying Disclosures","731,006,998","4,289,286,570","14,936,185","223,805,267"
"Shareholder Proposal Regarding Report on Allegations of Political Entanglement and Content Management Biases in India","228,827,965","4,738,909,941","67,491,847","223,805,267"
"Shareholder Proposal Regarding Report on Framework to Assess Company Lobbying Alignment with Climate Goals","492,189,469","4,527,617,352","15,422,932","223,805,267"
"Shareholder Proposal Regarding Report on Reproductive Rights and Data Privacy","481,236,650","4,527,112,583","26,880,520","223,805,267"
"Shareholder Proposal Regarding Report on Enforcement of Community Standards and User Content","359,502,758","4,658,516,757","17,210,238","223,805,267"
"Shareholder Proposal Regarding Report on Child Safety Impacts and Actual Harm Reduction to Children","817,020,915","4,202,589,505","15,619,333","223,805,267"
"Shareholder Proposal Regarding Report on Pay Calibration to Externalized Costs","359,570,618","4,662,026,384","13,632,751","223,805,267"
"Shareholder Proposal Regarding Performance Review of the Audit & Risk Oversight Committee","333,995,525","4,687,312,553","13,921,675","223,805,267"
