csv
"Nominee","For","Against","Abstained","Broker Non-Vote"
"K. Gunnar Bjorklund","278,173,205","13,731,083","109,455","19,577,557"
"Michael J. Bush","276,975,567","14,939,373","98,803","19,577,557"
"Edward G. Cannizzaro","290,877,363","1,035,810","100,570","19,577,557"
"Sharon D. Garrett","280,797,488","11,120,804","95,451","19,577,557"
"Michael J. Hartshorn","284,425,646","7,488,024","100,073","19,577,557"
"Stephen D. Milligan","287,118,634","4,781,571","113,538","19,577,557"
"Patricia H. Mueller","286,584,623","5,325,065","104,055","19,577,557"
"George P. Orban","276,905,304","15,004,783","103,656","19,577,557"
"Larree M. Renda","287,727,543","4,187,119","99,081","19,577,557"
"Barbara Rentler","288,331,135","3,593,233","89,375","19,577,557"
"Doniel N. Sutton","284,617,820","7,277,412","118,511","19,577,557"

"Proposal","For","Against","Abstained","Broker Non-Vote"
"Advisory Vote to Approve the Resolution on Executive Compensation","272,110,522","19,653,685","249,536","19,577,557"
"Frequency of Future Advisory Votes on Executive Compensation","288,681,046","67,758","3,009,347","19,577,557"
"Ratification of the Appointment of Deloitte & Touche LLP as the Company’s Independent Registered Public Accounting Firm for the Fiscal Year Ending February 3, 2024","302,825,119","8,684,257","81,924","-"
