csv
"Nominee","For","Against","Abstained","Broker Non-Vote"
"Lloyd A. Carney","1,173,849,753","73,267,710","2,344,841","135,823,973"
"Kermit R. Crawford","1,243,509,987","4,716,367","1,235,950","135,823,973"
"Francisco Javier Fernández-Carbajal","1,216,681,658","31,709,059","1,071,587","135,823,973"
"Alfred F. Kelly, Jr.","1,210,372,657","38,021,962","1,067,685","135,823,973"
"Ramon Laguarta","1,234,875,423","13,499,973","1,086,908","135,823,973"
"Teri L. List","1,234,667,163","13,788,710","1,006,431","135,823,973"
"John F. Lundgren","1,229,224,445","19,182,400","1,055,459","135,823,973"
"Denise M. Morrison","1,217,665,850","30,651,781","1,144,673","135,823,973"
"Linda J. Rendle","1,238,761,234","9,706,915","994,155","135,823,973"
"Maynard G. Webb, Jr.","1,212,586,541","28,276,346","8,599,417","135,823,973"

"Proposal","For","Against","Abstained","Broker Non-Vote"
"Approval, on an advisory basis, of the compensation paid to our named executive officers.","1,120,862,119","119,640,078","8,960,107","135,823,973"
"Advisory vote on the frequency of future advisory votes to approve executive compensation.","1,237,711,436","1,476,518","8,754,461","1,519,889"
"Ratification of the appointment of KPMG LLP as the Company’s independent registered public accounting firm for the 2023 fiscal year.","1,363,161,311","20,871,134","1,253,832","-"
"Stockholder proposal requesting an independent board chair policy.","217,632,303","945,671,501","86,158,500","135,823,973"
